㓪 朗
毎 每
歗 嘯
歰 澀
歱 踵
缷 卸
缻 缶
銕 鐵
銞 鈞
砶 珀
歝 斁
㲭 毯
磜 砌
矵 砌
欅 櫸
櫩 檐
鐾 鐴
櫉 櫥
櫄 杶
橰 槔
煅 鍛
焴 煜
焳 爝
燫 熑
熍 焪
燪 熜
焧 熜
櫕 欑
橓 蕣
樷 叢
樬 棇
樑 梁
櫁 榓
樒 榓
榢 架
榟 梓
榝 樧
獱 猵
槜 檇
槗 橋
榅 榲
槖 橐
槒 慉
槇 槙
牅 墉
楤 棇
楧 柍
楡 榆
椦 棬
槺 䆲
䆳 邃
槹 槔
槪 概
椝 槼
盫 盦
盙 簠
盕 䀀
㪙 敤
㪍 勃
㥿 傲
㥱 悱
㥺 熆
棅 柄
疩 瘁
癯 臞
㪫 叡
皶 皻
皹 皸
皼 鼓
盁 盈
皳 毬
皩 皝
皥 皞
皡 皞
皍 即
梄 槱
桰 栝
橊 榴
橅 模
栧 枻
栣 栠
䉵 饌
栖 棲
㓗 潔
栐 柡
䄃 殃
䄀 禍
㫺 昔
檪 櫟
栂 梅
柾 柩
籭 簁
簛 簁
樃 桹
梙 槵
曬 晒
曟 晨
曗 曄
曓 暴
曎 燡
曍 皞
曁 暨
暭 皞
暞 曒
暜 普
暒 晴
暁 曉
晭 㫶
䧜 塘
晠 晟
晈 皎
晄 晃
昿 曠
曅 曄
晍 曈
磰 墡
㚟 㲋
㚣 姣
㲿 瀇
汄 㳁
㓇 沃
㓆 凔
㒵 貌
昻 昂
旘 幟
旑 旖
旉 敷
旊 瓬
㪉 敆
䂡 砥
鏛 鋿
斴 粼
斍 覺
斊 齊
斈 學
鋳 鑄
鋫 鑗
錅 鑗
錰 鉥
錬 鍊
鈓 銋
擜 㩵
㩸 㩹
擹 攤
擮 截
擑 接
撪 㨧
撯 擆
䇚 攴
猐 羌
撴 撉
撆 撇
䯐 骸
胢 䯊
骮 䯆
䯄 騧
䮿 蹇
䯁 騾
䮶 驫
䮻 禂
䮼 驎
䮽 鑣
䭶 騏
䭼 騏
䭽 群
䮆 駓
䮐 駉
揔 摠
擪 擫
矀 覹
瞾 照
氺 水
駦 騰
駵 騮
駫 駉
騈 駢
驑 騮
驇 騺
驣 騰
騻 驦
騘 驄
騗 騙
騒 騷
䓿 菡
㒲 財
舃 舄
濽 灒
㒰 全
濵 濱
濓 濂
掻 搔
掲 揭
捦 擒
捜 搜
攂 擂
攅 攢
攈 捃
緾 纏
䣑 廛
㒯 燁
㒭 昆
㒫 旡
昸 冬
昗 昃
昖 㫟
旣 既
旪 協
旜 旃
㒨 僊
㒧 儷
僼 㒥
㒞 俊
竸 競
竂 寮
竆 窮
竐 䇍
竩 誼
訽 詬
㒗 儓
挙 舉
挗 抉
挄 擴
拪 遷
拁 枷
捓 揶
摂 攝
摾 弶
択 擇
揾 搵
抍 拯
鷼 鷳
鷱 鷎
鷆 鷏
扑 撲
戅 戇
愳 懼
愡 憁
惊 驚
悮 誤
悩 惱
睻 䁔
睘 瞏
睓 㥏
悓 俔
悑 怖
㚎 去
悋 吝
惖 惕
惽 惛
愂 悖
愑 悀
愹 悀
詝 㤖
㤓 笨
㤊 恔
恖 思
恒 恆
怸 悉
懕 厭
懙 㦛
懴 懺
豾 狉
貈 貉
豼 貔
貋 豻
狢 貉
怣 尤
愙 恪
㥧 順
㒖 藕
㒌 煢
惞 欣
㒋 廝
醸 釀
譲 讓
譵 懟
㒇 憮
㑪 儕
痮 脹
㑧 悸
㑤 媌
㑑 喒
㑏 佇
㑄 侮
㐺 乑
㐹 仡
忰 悴
忢 悟
忟 忞
忎 仁
忈 仁
忂 躣
涱 漲
涰 啜
矦 侯
㐴 攀
髠 髡
髢 鬄
髤 髹
髨 髡
髩 鬢
鬛 鬣
鬂 鬢
㐰 信
㐯 庸
䡖 輕
䡒 䡘
䡺 軎
䡼 軨
軣 轟
軚 軑
軰 輩
輌 輛
輏 輶
輺 輜
輧 軿
躙 蹸
蹮 躚
徴 徵
徱 僄
徰 征
彍 彉
珏 玨
玞 砆
玜 玒
㺪 璞
弾 彈
庿 廟
楍 本
庒 莊
楐 庎
裩 褌
幈 屏
帯 帶
巶 佋
巣 巢
巤 鬣
嵳 嵯
嵸 嵷
㠂 嶅
嵮 巔
㟧 崿
㟩 岷
嵔 㟪
嶖 崦
嶣 嶕
嶤 嶢
嵏 嵕
㹡 狷
嵆 嵇
鿒 鿓
崻 峙
崪 崒
崕 崖
崓 崮
崈 崇
峵 嶸
巎 峱
巓 巔
峝 峒
峢 峛
攟 捃
岹 岧
岴 嶇
崯 崟
訡 吟
訠 矧
岞 岝
㠘 嶼
㠖 嶬
嶻 巀
岙 嶴
㠗 嶴
岀 出
枾 柿
屛 屏
尶 尷
尲 尷
尣 尢
炌 烗
㶪 炋
尙 尚
尓 尒
寗 甯
宻 密
孾 嬰
孹 擘
孶 孳
孠 嗣
